13312,(same as u+4e18 丘) hillock or mound | cjk ideograph
17934,name of an insect | cjk ideograph
17935,(same as 恤) sympathy, pity | cjk ideograph
17936,(same as standard form 衄) the bleed at the nose, to damage; a setback; a failure | cjk ideograph
17937,(non-classical form of u+8108 脈) the pulse, the veins or arteries | cjk ideograph
17938,boy's reproductive organs, to fleece; to cut down; to scrape; to pare, to enfeeble | cjk ideograph
17939,thick blood of cattle and goat | cjk ideograph
17940,(same as 喀) to vomit; to throw up; to disgorge, coughs | cjk ideograph
17941,prostitute, a trade; an occupation; a profession | cjk ideograph
17943,beautiful, exquisite; fine | cjk ideograph
17944,(same as 御) to drive; to control; to manage, imperial, to wait on, clean; pure | cjk ideograph
17945,(same as 衛) to guard; to protect, a keeper | cjk ideograph
17946,(same as u+5352 卒) a servant; an underling, a pawn in chess, abrupt; hurried | cjk ideograph
17947,(cant.) 卡䘛, khaki | cjk ideograph
17948,(same as standard form 巾) a napkin; kerchief or towel, a headgear | cjk ideograph
17949,a shirt; a garment; a gown, a black dress | cjk ideograph
17951,kind of silk woven with double threads and water proof; lining the coffin, leather lining of clothing | cjk ideograph
17952,(corrupted form of 袚) greaves, knee-pads, buskins, dress; clothes of minority group in ancient times, children's garments, a mat for wrapping garment, (same as 帗)(in ancient china) a multicolored prop used in dancing rituals | cjk ideograph
17953,the sleeve | cjk ideograph
17954,old and shabby (said of clothes), to fill in or to pack clothes with cotton, to remain in a standstill for a long time | cjk ideograph
17955,clothes that have no lining, stitches in the clothes, wrinkled; crinkled clothes, cotton clothes | cjk ideograph
17956,a sword covering to protect the scabbard | cjk ideograph
17957,the front of a chinese gown, lapel of a chinese dress-worn by the literati in former days, a short coat; a short top garment, neck-wears for babies, very fine silk fabric | cjk ideograph
17958,a kind of head-dress wore in funeral rites in old days, fine clothes | cjk ideograph
17960,short leggings drawn over the trousers, clothes for fisherman | cjk ideograph
17961,collar, a throat-band to hold the hat, a tassel; a fringe, (same as 袨) in full dress, black colored ceremonial dress | cjk ideograph
17962,clothes without hem; ragged garments; a garment without a lining, single | cjk ideograph
17963,(same as 袽) old rags; old clothing, caulking | cjk ideograph
17964,armour, military dress | cjk ideograph
17965,the pleats on the lapel of a garment of thin silk | cjk ideograph
17966,(same as 喪) to lose; death; funeral, to mourn, to destroy | cjk ideograph
17967,the lapel or collar of a garment or robe, hat | cjk ideograph
17968,a hood; some kind of covering used on a carriage, towel; kerchief | cjk ideograph
17969,(same as 裕) wealthy; abundance; plenty, generous | cjk ideograph
17971,(interchangeable 襟) a garment of single thickness, lapel of a garment, collar of a robe formerly worn by the literati, therefore used for educated classes | cjk ideograph
17972,(same as 衳) short pants; trousers; drawers | cjk ideograph
17973,hissing sound of the clothes | cjk ideograph
17974,sleeves, a piece of towel used to block up the ears | cjk ideograph
17975,sleeves, old and meanly clothes | cjk ideograph
17976,the lower front of a robe, gown, etc., sleeves, the opening on the lower front of a robe | cjk ideograph
17977,clothes that have no lining (usually for summer wear) | cjk ideograph
17978,a seam which has come unsewn; to mend (clothes, etc.), (same as u+8892 袒 u+7dbb 綻) to bare; to strip; bared, ripped seam; a crack, ripped; split | cjk ideograph
17979,curtain on a carriage or car | cjk ideograph
17980,stockings; socks, the sleeve | cjk ideograph
17981,clothing and ornaments; an ornamental item; a decorative article of a garment | cjk ideograph
17982,trouser legs; trousers; fur pants | cjk ideograph
17983,shirt or a jacket without any decorated hem | cjk ideograph
17984,(same as 綳繃) a cloth to carry an infant on the back, to tie; to bind, to break open, to endure or bear | cjk ideograph
17985,children's garments, a mat for wrapping garments | cjk ideograph
17986,(non-classical form of 衳) short pants; trousers; drawers | cjk ideograph
17987,sleeveless clothes | cjk ideograph
17988,clothes with thick hem, to adjust, to regulate | cjk ideograph
17989,the waistline (in dress-making), a loop for button, a waist band or belt, pleat; a fold | cjk ideograph
17990,slits on the lower part of a gown for freedom of movement | cjk ideograph
17991,clothes of coarse fabric, seams; a fold; pleat of a garment, shirt; jacket | cjk ideograph
17992,a loose garment or cloak, shirt; jacket | cjk ideograph
17993,clothes, the central suture; seams on the back (said of clothes) | cjk ideograph
17994,arid; dry; parched | cjk ideograph
17996,(simplified form) a knot; a button, (dialect) to tie up; fastening; to wear; to slip on, to make a knot by a rope; a piece of string or a ribbon, (same as 繪) to draw (picture) | cjk ideograph
17998,sleeves, a piece of string; a ribbon; (shoe, boot, etc.) lace | cjk ideograph
17999,short sleeves shirt, clothes that have no lining, (same as 薄) thin; light; slight | cjk ideograph
18000,furs and linen garments, thin; light; slight, to pound; to beat, to attack, to hull or unhusk | cjk ideograph
18001,(same as 縗 衰) a piece of sackcloth worn on the breast in mourning, the frayed edges of mourning garments | cjk ideograph
18002,to store or save up; to hoard, to strip off; to deprive of, to undress forcibly | cjk ideograph
18003,the lower part of a garment; skirt; petticoat | cjk ideograph
18004,clothes made of poor fabric, head-dress for children (or minority group), an infant's bib | cjk ideograph
18005,clothes that have no lining | cjk ideograph
18006,(same as 綳繃) a cloth to carry an infant on the back, to tie; to bind, to break open, to endure or bear | cjk ideograph
18007,a swaddling cloth for infant; a broad bandage for carrying an infant on the back | cjk ideograph
18008,exquisite; fine, bright-colored clothes, clear white | cjk ideograph
18009,clothes | cjk ideograph
18010,(same as 裊 褭) curling up, as smoke, wavering gently; to sway enticingly; winding round and round, in ancient time to cast gold in the shape of horse's hoofs; fine horse | cjk ideograph
18011,(same as 袞 渿) ceremonial dress of the emperor or very high officials | cjk ideograph
18012,(corrupted form) legendary mountain deity, (interchangeable 逢) to meet; to come across, to happen; to fall in with | cjk ideograph
18013,under garments, intimate with, dirty; ragged, undress; thus -- to treat with irreverence | cjk ideograph
18014,woolen string; ribbon or lace | cjk ideograph
18015,heavy clothes (thickness), to hang down | cjk ideograph
18016,short clothes, to lift up clothes and across a river | cjk ideograph
18017,(simplified form) a knot; a button, (dialect) to tie up; fastening; to wear; to slip on, to make a knot by a rope; a piece of string or a ribbon, (same as 繪) to draw (picture) | cjk ideograph
18018,short t-shirt, lined garments without padding | cjk ideograph
18019,ragged garments or clothing | cjk ideograph
18020,good; nice; fine, long and large clothes | cjk ideograph
18021,shiny dresses | cjk ideograph
18022,upper garments | cjk ideograph
18023,red color; crimson | cjk ideograph
18024,(non-classical form of 裹) to wrap or bind | cjk ideograph
18025,clothes | cjk ideograph
18026,(same as 襻) a loop for button | cjk ideograph
18028,plaits on the sides of a petticoat, pleats of a skirt, contrast of the mixed colors | cjk ideograph
18029,(same as u+8930 褰) to lift or raise (one's dress, skirt, etc.), trousers; drawers; pants | cjk ideograph
18030,belt, strip of cloth | cjk ideograph
18031,exquisite; fine, sharp; distinct, bright-colored | cjk ideograph
18032,new feather; damp; moist and sticky, a thin-silk curtain | cjk ideograph
18033,(same as 襡) a long coat; a long jacket, the connection of the top and bottom of clothes | cjk ideograph
18034,(same as 遷) to move; to remove, to change | cjk ideograph
18035,(same as 熛) spiting flames, flashed fire, to shine off and on, to cover; to hide, to seal, to build | cjk ideograph
18036,to soar as a bird, (ancient form of u+9077 遷) to move, to change | cjk ideograph
18037,rustic; low; mean, to despise, family name | cjk ideograph
18039,(ancient form of 得) to obtain; to acquire; to gain, to effect; to attain, can; may; able to be done | cjk ideograph
18040,(same as u+4677 䙷) to obtain; to acquire; to gain, to effect; to attain, can; may; able to be done | cjk ideograph
18041,to vomit milk (said of baby), to vomit unwillingly | cjk ideograph
18042,(corrupted form of 覝)(standard form of 廉) to observe; to watch; to examine | cjk ideograph
18043,to steal a look; to steal a glance | cjk ideograph
18044,to see; to observe, to appear, now; present, ready, to summon; to call up, far, deep; profound | cjk ideograph
18045,to see; to observe | cjk ideograph
18046,to wait for; to await (interchangeable 伺), (same as 施) to act; to do; to make, to grant; to give, to apply | cjk ideograph
18047,to see; to observe | cjk ideograph
18048,(non-classical form) to see stealthily; to peek | cjk ideograph
18049,(same as u+4680 䚀) to see, to see stealthily; to peek | cjk ideograph
18050,to see; to observe or examine | cjk ideograph
18051,to realize fully, to make a thorough examination | cjk ideograph
18052,to make fun of, to having the same idea, feeling, etc. | cjk ideograph
18053,to look after home or domestic affairs, to search one's own soul, to see; to observe | cjk ideograph
18054,to see; to look at, to examine | cjk ideograph
18055,to observe; to inspect carefully, leaking out, a measurement, (non-classical of 省) economical, a province, to save; to avoid | cjk ideograph
18056,to see; to look at, to examine | cjk ideograph
18057,to see; to look at, to examine, to spy upon, to wait upon | cjk ideograph
18058,to look from a distance | cjk ideograph
18059,eyesight blurred; dim of sight; giddy or dizzy, (same as 鄖) name of a state (today's hobei province) in ancient china, name of a place in today's jiangsu province | cjk ideograph
18061,to look at; to observe or inspect; to see | cjk ideograph
18062,eyesight blurred; dim of sight, to look steadily at; (cant.) to peep (through a crack) | cjk ideograph
18063,to love; intimate; near to; dear; parents; relatives, to see; to look at; to observe | cjk ideograph
18064,getting red in the eyes, to look from a distance | cjk ideograph
18065,to steal a glance; to peep; to spy on | cjk ideograph
18066,eyesight blurred; dim of sight, to look steadily at | cjk ideograph
18067,(same as 瞫) to observe; to examine; to look deeply into | cjk ideograph
18068,to look suddenly; to look shortly | cjk ideograph
18069,to search out; to examine into, (cant.) to give an angry glances at somebody | cjk ideograph
18070,mountain deity; with human face and animal body | cjk ideograph
18071,to lift; to raise | cjk ideograph
18072,the long and upright horns of cattle | cjk ideograph
18073,a spoon for cooked rice made of horn of an animal, uneven horns of cattle | cjk ideograph
18074,horn of an animal | cjk ideograph
18075,regulate; polish ivory to make it more white | cjk ideograph
18076,cattle with crosswise horns, crosswise horns of a cattle | cjk ideograph
18077,new-growing horns, to clasp or hold under the arm, to bosom; to embrace | cjk ideograph
18078,the middle of the horn | cjk ideograph
18079,horns, middle of the horn, (same as 歹) bad; wicked; depraved; vicious | cjk ideograph
18080,(ancient form) unbroken firewood, complete; whole; general, round horn, animal's horns, a whole horn | cjk ideograph
18081,bones in a horn of cattle and goat | cjk ideograph
18082,horn, jewelry; ornaments used for woman in old days, an eyelet for the hook of a leather belt, a second for childhood | cjk ideograph
18083,crooked horns of the animal | cjk ideograph
18085,to adjust a bow | cjk ideograph
18086,slanted corners; curved corners, crooked horn | cjk ideograph
18087,curved with angles; curved corner | cjk ideograph
18088,a string fastened to an arrow to draw it back after shooting | cjk ideograph
18089,high; curved; long horns | cjk ideograph
18090,curved horns, (non-classical form of 鱞 鰥) huge fish found in the yellow river, said to be unable to close its eyes | cjk ideograph
18091,ornamental articles made of horns used to decorate the top of a stick or horsewhip, to hit; to beat | cjk ideograph
18094,thicker, heavy, still; yet | cjk ideograph
18095,(ancient form of 討) to quell (uprising, rebellion, etc.) to punish (another nation, etc.) by force fo arms, sound; voice; tone | cjk ideograph
18096,to prepare, all complete; all ready, (corrupted and abbreviated form of 訛) false; fake, errors; wrong | cjk ideograph
18097,(ancient form of 信) honesty; good faith; to believe or trust; a letter | cjk ideograph
18098,(non-classical form of 訕) to laugh at; to sneer, to slander; to abuse | cjk ideograph
18099,do not know, to know nothing about, quickly; fast, sharp; keen | cjk ideograph
18100,anger; rage; furious, to scold in a loud voice; to upbraid or revile | cjk ideograph
18101,to induce; to lure; to allure; to attract; to entice; to tempt; to seduce (with speech; words; through talking) | cjk ideograph
18102,to scold in a loud voice | cjk ideograph
18103,to treat; to detain, according to one's wishes, good words; honest; sincere words, an echo, joke; witticism; pleasantry; jest; fun | cjk ideograph
18104,good; virtuous | cjk ideograph
18105,(same as 庀) to prepare, to prepare, all complete; all ready | cjk ideograph
18106,(non-classical form of 謠) ballad; folk song; song, rumor | cjk ideograph
18107,(ancient form of 謠) to sing, a ballad, rumour; slander; a false report, from, to follow, to undertake; to attend to | cjk ideograph
18108,ashamed | cjk ideograph
18109,(interchangeable 耗) news; tidings; report; information; message | cjk ideograph
18110,to think of; to remember (someone), to read out aloud, (same as u+46d8 䛘) | cjk ideograph
18111,to shout in rage; angry shouts, angry speech, to cry continuously, to groan; to moan | cjk ideograph
18112,reasonable authority statements, (same as 呶) noise (especially from a brawling crowd); uproar; turmoil, abusive language, to boast | cjk ideograph
18113,(interchangeable 喃 諵) to murmur; in a low voice, to chatter; to gabble | cjk ideograph
18114,(same as 誃 謻) to separate from; to leave or depart; to break away, (same as 詑) to cheat; to swindle | cjk ideograph
18115,used in person's name | cjk ideograph
18116,to console; to comfort; to soothe; to show sympathy for, ill-will; enmity; animus | cjk ideograph
18117,loquacious | cjk ideograph
18118,(same as 咒 u+546a) to curse; to swear | cjk ideograph
18119,to laugh; to smile; to grin; to giggle; to titter; to chuckle, well-intentioned advice | cjk ideograph
18120,(interchangeable 誓) to vow; to swear; to take an oath | cjk ideograph
18121,to induce by words | cjk ideograph
18122,cheerful all the time; without stopping, to tell; to say, to designated, to think | cjk ideograph
18123,to scheme; to plan; to plot, to seek; to try to get | cjk ideograph
18124,to provoke or arouse (ill-will, etc.) to cause disputes; to sow discord between two parties, to talk nonsense; to talk incoherently or unintelligibly; lies or wild talks | cjk ideograph
18125,loquacious, to talk quickly | cjk ideograph
18126,to shout in rage; to scold in anger | cjk ideograph
18127,to call somebody, (same as 泥) to beg; to entreat; to implore, to be bigoted; to adhere to the letter of the law; bigoted and conservative, poor (speech) | cjk ideograph
18128,(same as u+8a5e 詞) an expression, words; phrases; a part of speech, tales; stories, a form of poetry | cjk ideograph
18129,(same as 謐) silent; quiet; serene; still, cautious; careful | cjk ideograph
18130,(standard form of 辯) to argue; to dispute; to discuss; to explain | cjk ideograph
18131,(abbreviated form of 譼) (ancient form of 監) an official position in former times, a government establishment in former times | cjk ideograph
18132,to hold in hand; to grasp; to take, to arrest; to use, (non-classical form of 誽) to spy; to find out secretly | cjk ideograph
18133,(non-classical form of 諛) to flatter, flattery | cjk ideograph
18134,(same as 詍) loquacious | cjk ideograph
18135,to pry into or expose another's secret; to gossip about a man's private affairs or about his faults, to accuse or charge | cjk ideograph
18136,to think of; to remember (someone), to read out aloud, loquacious, guttural sound, noise; uproar; turmoil | cjk ideograph
18137,to smell the fragrance | cjk ideograph
18138,to praise; to extol; to exalt; to glorify | cjk ideograph
18139,(same as 詯) courage | cjk ideograph
18140,(same as ancient form of 訊) to ask; to inquire; to question, information; news | cjk ideograph
18141,to like, to puzzle | cjk ideograph
18142,loquacity, boasting; hyperbole, to talk harshly; to shout angrily | cjk ideograph
18143,(same as 唊) wild statements; deliberate lies | cjk ideograph
18144,unable to talk, incapable; inefficient | cjk ideograph
18145,(ancient form of 話) words; saying; talk, to speak | cjk ideograph
18146,cunning; crafty; sly; silly; artful | cjk ideograph
18147,speech; words, to say; to talk, negative, hesitate | cjk ideograph
18148,urgently; hastily; hurriedly, a hasty speech | cjk ideograph
18149,speech; word, a speech sound, tone (of one's speech), boasting | cjk ideograph
18150,(ancient form of 訟) litigation, to argue over | cjk ideograph
18151,(corrupted form of 謎) riddle, puzzle, conundrum | cjk ideograph
18153,to slander; to defame, (same as 惡) to abominate; to detest, (same as 啞) to laugh; to grin | cjk ideograph
18154,loquacity, to inquire; to ask; to make inquiry | cjk ideograph
18155,to deceive; to delude, careless; lax; heedless | cjk ideograph
18156,baby talk, to pray, to felicitate | cjk ideograph
18157,angry, reproof; scolding | cjk ideograph
18158,to destroy, to slander; to abuse; to defame, (non-classical form of 咎) a fault; a defect, an error, to blame; to censure | cjk ideograph
18159,the reason for speaking | cjk ideograph
18160,(non-classical) sketchy; not clear speech | cjk ideograph
18161,to talk unremittingly | cjk ideograph
18162,(same as 謾) to deceive, to scorn; to disdain | cjk ideograph
18163,to malign, to hide; to conceal | cjk ideograph
18164,joke; pleasantry, wild talk; a lie | cjk ideograph
18165,(same as 授) to teach orally | cjk ideograph
18166,(same as 誄) writings eulogizing a dead person; a speech, ode, etc. in praise of the dead, to pray for the dead | cjk ideograph
18167,(same as 婉) to obey; obedient; to comply, to console; to comfort; to soothe | cjk ideograph
18168,(corrupted form of 詀) garrulous, to whisper, to joke | cjk ideograph
18169,to accuse; to censure; to charge | cjk ideograph
18170,(same as 誡) to warn; to admonish | cjk ideograph
18171,(same as 誘) to induce; to entice; to mislead; to lead on | cjk ideograph
18172,(same as u+6bc0 毀) to slander; to defame | cjk ideograph
18173,loquacious, to break into a conversation, an irrelevant episode | cjk ideograph
18174,familiar with; skilled; versed in | cjk ideograph
18175,cunning; craft; sly; wily; artful, bright; wise | cjk ideograph
18176,to insult with words | cjk ideograph
18177,(same as 謑) to abuse and insult, shame; disgrace | cjk ideograph
18179,to blame; to reproach, to punish, to throw; to cast, (same as 堆) to pile; a heap | cjk ideograph
18180,(same as 謘) slow on talking; incapable; obtuse; awkward | cjk ideograph
18181,to follow; to comply with, to refute; to rebuke; to accuse | cjk ideograph
18182,(same as 讘) hasty words, loquacity, for the sake of comparison (large to small; big to little, etc.) | cjk ideograph
18183,to speak not in a clear way, (same as 謴) to play jokes on; to fool (somebody) | cjk ideograph
18184,(same as 勦) to speak on behalf of another, buzzing in the ears | cjk ideograph
18185,to jest; to joke; to quip (same as 誺) unintelligible answering | cjk ideograph
18186,(same as u+5608 嘈) noise; uproar; din | cjk ideograph
18187,to suspend; to interrupt, to become aware; to realize | cjk ideograph
18188,(ancient form) chaos; distraction; confusion, confused, continuous; uninterrupted; to tie together, to manage | cjk ideograph
18189,sweet; artful words | cjk ideograph
18190,sound, noisy; full of confused noises; clamorous | cjk ideograph
18191,to withdraw; to decline, clever | cjk ideograph
18192,to libel; to slander, to make excuses; to shirk (responsibility, etc.) | cjk ideograph
18193,(same as u+46e9 䛩) to slander; to defame; (same as u+60e1 惡) to hate; to hold a grudge against | cjk ideograph
18194,expression; sentence, speech, to tell; to inform; to accuse; to report | cjk ideograph
18195,a slip of the tongue | cjk ideograph
18196,to speak on the ideas of someone else; to speak without much thought of ones own, to obey | cjk ideograph
18197,to exaggerate; exaggeration, arrogant; to boast, to dispute with anger | cjk ideograph
18198,(non-classical form) (same as 談) to talk; to converse; to chat | cjk ideograph
18199,angry words | cjk ideograph
18200,(same as 警) to guard; to keep watch; to warn; to alert, quick; agile | cjk ideograph
18201,not clever, to make fun of; to poke fun at | cjk ideograph
18202,to speak recklessly or without forethought; a wild talk, use words to investigate | cjk ideograph
18203,(non-classical form of 讒) to slander; to defame | cjk ideograph
18204,words of anger; words of dislike or hate | cjk ideograph
18205,uncertain | cjk ideograph
18206,a dose, prepared medicines or drugs, to prepare (medicines and drugs) | cjk ideograph
18207,(non-classical form of 讖) to verify; to fulfill (a prophecy); a hint, an omen | cjk ideograph
18208,language of the savage or barbarian | cjk ideograph
18209,to smell a fragrance | cjk ideograph
18210,cruel and violent | cjk ideograph
18211,(simplified form of 訢) (same as 欣) joy; delight; happy | cjk ideograph
18213,birthday; to be born, give birth to | cjk ideograph
18215,to insult with words | cjk ideograph
18217,(simplified form of 讌) a feast, banquet; to entertain, feast | cjk ideograph
18218,name of a pavilion in old times | cjk ideograph
18219,name of a valley in today's hobei province, (same as 谼) deep ditch; big valley | cjk ideograph
18220,(same as 岫) a cavern; a cave, a mountain peak | cjk ideograph
18221,(same as 濬 浚) to dredge; to dig or wash (a well, etc.), (same as 睿) wise and clever | cjk ideograph
18222,deep valley | cjk ideograph
18223,name of a valley in today's shanxi province | cjk ideograph
18224,deep valley | cjk ideograph
18225,name of a pavilion in today's shanxi province | cjk ideograph
18226,name of a village in old china, name of a valley | cjk ideograph
18228,brave; courageous; bold, for the good of, to manage; to handle, (same as 豉) fermented beans | cjk ideograph
18229,(non-classical form of 豉) fermented beans | cjk ideograph
18230,a small kidney bean; cowpea | cjk ideograph
18231,fermented and seasoned soybeans, (of beans) wild; undomesticated | cjk ideograph
18232,small pieces of bean-stalks, leaves under the bean-stalks | cjk ideograph
18234,husking (smashed) beans for cake, congee or gruel | cjk ideograph
18235,(same as 豉) fermented beans | cjk ideograph
18236,a kind of bean, bean-stalks | cjk ideograph
18237,a kind of bean, beans that changed the colors | cjk ideograph
18238,fermented beans; salted beans | cjk ideograph
18240,garden peas (pisum sativum), an ancient name for beans used in shanxi | cjk ideograph
18241,a kind of wild leguminous plants; wild green lentils | cjk ideograph
18242,(same as 豎) to erect; upright | cjk ideograph
18243,beans | cjk ideograph
18244,cowpea | cjk ideograph
18245,a pig | cjk ideograph
18246,hog; pig | cjk ideograph
18247,(standard form of 豗) grunting of pigs, to clash, sound of altercation | cjk ideograph
18248,a large, very strong pig (five hands in height) | cjk ideograph
18250,a sow; an aged sow | cjk ideograph
18251,a little of pigs; a little pig, a boar | cjk ideograph
18252,a pig seek for food through digging on the earth | cjk ideograph
18253,a wild boar, a hog; a pig | cjk ideograph
18254,a pig; a hog, a kind of fat animal looks like a pig | cjk ideograph
18255,a sow | cjk ideograph
18256,a castrated hog, a pig | cjk ideograph
18257,a local produced pig, a sucking pig | cjk ideograph
18258,a sow, a small pig | cjk ideograph
18259,(same as 鬣) long beard or whiskers, mane, fins | cjk ideograph
18260,(same as 貛) the badger; a wild boar | cjk ideograph
18261,good, fine pig; an ancient term for pigs used in liangzhou | cjk ideograph
18262,reptiles without feet, a fabulous beast | cjk ideograph
18263,(same as 貅) a kind of animal like a tiger; a fierce and courageous soldier | cjk ideograph
18264,(same as 毅) firm; resolute; determined | cjk ideograph
18265,a kind of animal like a tiger; fierce wild beasts | cjk ideograph
18266,a kind of animal; fur can be used for clothes | cjk ideograph
18268,(same as u+72fb 狻) a tibetan lion | cjk ideograph
18269,(same as 猗) an exclamation indicating admiration, an adverbial particle | cjk ideograph
18270,name of a immortal; with man's face and bird's body; be known as (禺號) | cjk ideograph
18271,a fierce man-eating animal in legend | cjk ideograph
18272,(same as 獂) a kind of wild boar | cjk ideograph
18273,(same as 獌) an animal in old times; like fox but much bigger | cjk ideograph
18274,same as u+734c 獌 or u+8c99 貙 | cjk ideograph
18275,a kind of animal | cjk ideograph
18276,a primitive tribe in southwest china; also known as u+5937 夷; (same as u+7360 獠) nocturnal hunting | cjk ideograph
18277,to roar or howl (of beasts) frantic barks of dogs or wolves | cjk ideograph
18278,a kind of animal looks like leopard; with horns | cjk ideograph
18279,capital (in business), to compute taxes | cjk ideograph
18280,(non-classical form of 賢) virtuous; worthy; good, to esteem as worthy, excelling | cjk ideograph
18281,(same as 賑) to relieve or give aid to the distressed; to support, rich; wealthy | cjk ideograph
18282,to provide money or gift and to consult fortune-teller; pay for guidance from divination | cjk ideograph
18283,money; currency and finances | cjk ideograph
18284,a wealthy man | cjk ideograph
18285,wages; salary, to redeem; to ransom | cjk ideograph
18286,(same as 衒) to brag; to boast; to show off | cjk ideograph
18287,(same as 貤) to change hands; to shift, a series, steps; grades, to promote; to reward; ennobled; to bestow, to extend; to prolong | cjk ideograph
18288,to store or to accumulate riches or valuables | cjk ideograph
18289,to trouble; to worry; to vex; to annoy | cjk ideograph
18290,(abbreviated form 贐) farewell presents | cjk ideograph
18291,to kill for money; to commit murder for money, deeply meaningful; deep and profound; deep and thick | cjk ideograph
18292,(non-classical form of 齎) to present; to offer; to entertain; to have in one's mind | cjk ideograph
18293,to thank with money or gifts | cjk ideograph
18294,to levy taxes | cjk ideograph
18295,securities; to assign something as security under an arrangement; to mortgage, to relieve or give aid to the distressed; to support | cjk ideograph
18296,a kind of tool; instrument; apparatus; implement | cjk ideograph
18297,fairly prosperous, well-to-do; not very rich | cjk ideograph
18298,(non-classical form of 貫) to pierce through | cjk ideograph
18299,to sell, to store up; to stockpile; to deposit | cjk ideograph
18300,to bestow, to confer upon; to grant to | cjk ideograph
18301,name of a person in old china | cjk ideograph
18302,to bestow; to give, natural endowment or gifts, tax; revenue, to spread; to diffuse, to compose or sing, one of the chinese literary forms akin to poetry | cjk ideograph
18303,(ancient form of 貴) honorable, expensive; costly, prized, high-class, to hold in honor | cjk ideograph
18304,to desire for more money than one's rightful share | cjk ideograph
18305,corresponding; equivalent, appropriate, to compare the length of two articles | cjk ideograph
18306,fairly prosperous, well-to-do; not very rich | cjk ideograph
18307,to relieve or give aid to the distressed; to support, shells; precious; valuable | cjk ideograph
18308,(interchangeable 俵) to disperse; scattered, to distribute; to divide | cjk ideograph
18309,(non-classical form of 貽) to give to; to present to, to hand down; to pass on to; to bequeath | cjk ideograph
18310,bone, grease and oil | cjk ideograph
18311,gifts to superiors or friends, offerings of ceremony | cjk ideograph
18312,(ancient form of 貨) money; wealth, natural endowment or gifts, to aid or help, to gamble; to bet, to compete | cjk ideograph
18313,(same as 賸) a surplus; an overplus, remains, superfluous | cjk ideograph
18314,to increase; to add to; to augment, in a higher degree; more, benefit; profit; advantage | cjk ideograph
18315,to do alms for the buddhist priests or monks in old times, to bestow; to present; to confer; to give; to donate | cjk ideograph
18316,to lose in trade; to lose in weight or measure | cjk ideograph
18317,(simplified form of u+477c 䝼) to bestow, to confer upon; to grant to | cjk ideograph
18320,plentiful, wealthy or rich; handsome (pay, gifts, etc.) | cjk ideograph
18321,a red swelling of the skin | cjk ideograph
18322,red color | cjk ideograph
18323,(same as u+8d6c 赬) deep red, to blush, to dye red | cjk ideograph
18324,deep red | cjk ideograph
18325,color of the fire, color fading, (interchangeable 渝) to change mind, another name of chongqing | cjk ideograph
18326,name of a person | cjk ideograph
18327,suspicion; to doubt, to go up, to start, to occur | cjk ideograph
18328,to go straight forward; (cant.) to raise up | cjk ideograph
18329,to walk in hurriedly | cjk ideograph
18330,to hang on a big tree, to walk (the way of alces machlis, a kind of deer) | cjk ideograph
18331,dancing of a eastern minority group in old china | cjk ideograph
18332,to reach; to arrive, to lie flat, stiff | cjk ideograph
18333,lame; crippled | cjk ideograph
18334,to walk, to jump; to leap; to bounce; to spring | cjk ideograph
18335,to press; to compel, to draw near, to excel; to surpass; to rise above; to transcend, to fly across; to jump over | cjk ideograph
18336,to walk | cjk ideograph
18337,to walk | cjk ideograph
18338,to walk | cjk ideograph
18339,to resist; to hold out, angry, to break up; to split, half step, evil; wicked; mean; vicious | cjk ideograph
18340,to walk, to use; to employ, to control | cjk ideograph
18341,to walk | cjk ideograph
18342,to lie flat, to be inactive; stiff; rigid, dead-locked | cjk ideograph
18343,hard to walk, lame; crippled | cjk ideograph
18344,(same as 跬) half a pace | cjk ideograph
18345,lame; crippled | cjk ideograph
18346,walking rapidly | cjk ideograph
18347,to walk | cjk ideograph
18348,(same as 透) to pass through, to let out; to let through | cjk ideograph
18349,walking rapidly, to go ahead, to move quickly; to run; to hurry | cjk ideograph
18350,to crawl; to creep | cjk ideograph
18351,to walk, to move quickly; to run; to hurry, to reach the time-limit; to mature | cjk ideograph
18352,walking rapidly | cjk ideograph
18353,to fall over; to lie down | cjk ideograph
18355,(same as 踣) to stumble and fall | cjk ideograph
18356,to jump; to leap; to hop, limping; walking unsteadily; limping | cjk ideograph
18357,to jump | cjk ideograph
18358,walking rapidly | cjk ideograph
18359,(same as 趉) walking rapidly, to walk | cjk ideograph
18360,(corrupted and non-classical form) to reach; to arrive, (same as 仆) to fall; to prostrate | cjk ideograph
18361,to walk | cjk ideograph
18362,to walk | cjk ideograph
18363,to walk | cjk ideograph
18364,(same as 竄) to escape; to run away; to flee, to banish, to change or alter (the wording) | cjk ideograph
18365,to lie flat, stiff; rigid; to be inactive, dead-locked | cjk ideograph
18366,frivolous; contemptuous, to despise; to speak ill of | cjk ideograph
18367,(interchangeable 蹇) lame; crippled, slow, weak; feeble, difficult; hard | cjk ideograph
18368,to walk | cjk ideograph
18369,a foot-race | cjk ideograph
18370,slow; tardy | cjk ideograph
18371,to move or march swiftly; to walk quickly; to run, to go; to go to a meeting | cjk ideograph
18372,in a hurry, deceitful; cunning; swindling; wily, to walk quickly | cjk ideograph
18373,to go ahead; to proceed; to advance, to jump; to leap swiftly, brief; short period | cjk ideograph
18374,to keep persons off the route of the emperor, when on tour, imperial halting-place, worship of the kitchen god (performed on the 23rd day of the 12th moon) | cjk ideograph
18375,to walk | cjk ideograph
